Epoch : 65, Mean Accuracy(U) = 0.21792905638818022, Mean Accuracy(V) = 0.18437754659155325, Loss : 7.722727828555637
Epoch : 66, Mean Accuracy(U) = 0.21686128715809233, Mean Accuracy(V) = 0.18381278455392572, Loss : 7.718220880296495
Epoch : 67, Mean Accuracy(U) = 0.21708494432929418, Mean Accuracy(V) = 0.1840281929829223, Loss : 7.71852641635471
Epoch : 68, Mean Accuracy(U) = 0.21818872568558673, Mean Accuracy(V) = 0.1866517082093254, Loss : 7.718493525187174
Epoch : 69, Mean Accuracy(U) = 0.21985818253082481, Mean Accuracy(V) = 0.1864504997962727, Loss : 7.71894285413954
Epoch : 70, Mean Accuracy(U) = 0.21912827956703518, Mean Accuracy(V) = 0.18709498122165538, Loss : 7.712926816940308
Epoch : 71, Mean Accuracy(U) = 0.21774309984410434, Mean Accuracy(V) = 0.1840563715720663, Loss : 7.7195688512590195
Epoch : 72, Mean Accuracy(U) = 0.2177002783535289, Mean Accuracy(V) = 0.18580203240150223, Loss : 7.716852564281887
Epoch : 73, Mean Accuracy(U) = 0.22000768406320856, Mean Accuracy(V) = 0.18614953142715424, Loss : 7.714518313937717
Epoch : 74, Mean Accuracy(U) = 0.217570651307398, Mean Accuracy(V) = 0.18484066640979305, Loss : 7.714888874689738
Epoch : 75, Mean Accuracy(U) = 0.21889033933886057, Mean Accuracy(V) = 0.18843257843501987, Loss : 7.72184976471795
Epoch : 76, Mean Accuracy(U) = 0.2170119512648809, Mean Accuracy(V) = 0.18384948868870468, Loss : 7.711561706331041
Epoch : 77, Mean Accuracy(U) = 0.21628506545847503, Mean Accuracy(V) = 0.18385773743090988, Loss : 7.712492603725857
Epoch : 78, Mean Accuracy(U) = 0.21962998578337592, Mean Accuracy(V) = 0.18553480637046474, Loss : 7.724406056933933
Epoch : 79, Mean Accuracy(U) = 0.21917946052118767, Mean Accuracy(V) = 0.1854156701743197, Loss : 7.729591438505385
Epoch : 80, Mean Accuracy(U) = 0.21505066056370462, Mean Accuracy(V) = 0.18429564045670352, Loss : 7.721298095915053
Epoch : 81, Mean Accuracy(U) = 0.21819251789257374, Mean Accuracy(V) = 0.1870542634371457, Loss : 7.718315590752495
Epoch : 82, Mean Accuracy(U) = 0.21733199139030615, Mean Accuracy(V) = 0.18531314218395692, Loss : 7.700425365236071
Epoch : 83, Mean Accuracy(U) = 0.2178557311596513, Mean Accuracy(V) = 0.1861182249592546, Loss : 7.713239320119222
Epoch : 84, Mean Accuracy(U) = 0.21977411732922328, Mean Accuracy(V) = 0.1880775780364229, Loss : 7.719734202490913
Epoch : 85, Mean Accuracy(U) = 0.21872367599383508, Mean Accuracy(V) = 0.18644122688137751, Loss : 7.718914582994249
Epoch : 86, Mean Accuracy(U) = 0.21844886554882378, Mean Accuracy(V) = 0.1861802289275085, Loss : 7.7200193193223745
Epoch : 87, Mean Accuracy(U) = 0.21700757777069163, Mean Accuracy(V) = 0.18419682163229872, Loss : 7.710493516921997
Epoch : 88, Mean Accuracy(U) = 0.21959322628791103, Mean Accuracy(V) = 0.18516613188244055, Loss : 7.715604363547431
Epoch : 89, Mean Accuracy(U) = 0.21792019867842977, Mean Accuracy(V) = 0.182142026732568, Loss : 7.717653608322143
Epoch : 90, Mean Accuracy(U) = 0.21845512130633496, Mean Accuracy(V) = 0.1867924627533305, Loss : 7.708902740478516
Epoch : 91, Mean Accuracy(U) = 0.21810720707553857, Mean Accuracy(V) = 0.18560511444161007, Loss : 7.715443733003404
Epoch : 92, Mean Accuracy(U) = 0.21985405815972225, Mean Accuracy(V) = 0.1858538500035431, Loss : 7.718365807003445
Epoch : 93, Mean Accuracy(U) = 0.21707805192389457, Mean Accuracy(V) = 0.18543313647073412, Loss : 7.7157674206627735
Epoch : 94, Mean Accuracy(U) = 0.21764500070861684, Mean Accuracy(V) = 0.18316738967722507, Loss : 7.7229873286353214
Epoch : 95, Mean Accuracy(U) = 0.2168753210919784, Mean Accuracy(V) = 0.18463048956561792, Loss : 7.708451043234931
Epoch : 96, Mean Accuracy(U) = 0.21727134375885765, Mean Accuracy(V) = 0.1843942655187075, Loss : 7.7287054008907745
Epoch : 97, Mean Accuracy(U) = 0.21769236177543935, Mean Accuracy(V) = 0.1848414968200822, Loss : 7.716125800874498
Epoch : 98, Mean Accuracy(U) = 0.21907801206420072, Mean Accuracy(V) = 0.18405352049674037, Loss : 7.715599399142795
Epoch : 99, Mean Accuracy(U) = 0.21648868206136626, Mean Accuracy(V) = 0.18455359357284576, Loss : 7.714310836791992
Epoch : 100, Mean Accuracy(U) = 0.21813945467509918, Mean Accuracy(V) = 0.18727731164080216, Loss : 7.702140702141656
Epoch : 101, Mean Accuracy(U) = 0.2159376494738522, Mean Accuracy(V) = 0.1829530331012613, Loss : 7.724238925509983
Epoch : 102, Mean Accuracy(U) = 0.21795203107284575, Mean Accuracy(V) = 0.18398786272321419, Loss : 7.714413605795967
Epoch : 103, Mean Accuracy(U) = 0.219872105743339, Mean Accuracy(V) = 0.18567556091446996, Loss : 7.71738338470459
Epoch : 104, Mean Accuracy(U) = 0.22015605070153058, Mean Accuracy(V) = 0.1865635463169643, Loss : 7.715118667814466
Epoch : 105, Mean Accuracy(U) = 0.21834229622838716, Mean Accuracy(V) = 0.18637678704294222, Loss : 7.719231282340155
Epoch : 106, Mean Accuracy(U) = 0.2179924443735827, Mean Accuracy(V) = 0.18513131001098349, Loss : 7.720070844226413
Epoch : 107, Mean Accuracy(U) = 0.22122210375035428, Mean Accuracy(V) = 0.18589858143778346, Loss : 7.71118680106269
Epoch : 108, Mean Accuracy(U) = 0.217971601075326, Mean Accuracy(V) = 0.18481594786352037, Loss : 7.707196654213799
Epoch : 109, Mean Accuracy(U) = 0.21783870774872452, Mean Accuracy(V) = 0.18562086455676036, Loss : 7.727900176578098
Epoch : 110, Mean Accuracy(U) = 0.22041450206384636, Mean Accuracy(V) = 0.18833954480229598, Loss : 7.722409836451212
Epoch : 111, Mean Accuracy(U) = 0.21926983684098653, Mean Accuracy(V) = 0.18727368551587303, Loss : 7.714880137973362
Epoch : 112, Mean Accuracy(U) = 0.21624293597647393, Mean Accuracy(V) = 0.18397778707837303, Loss : 7.713445234298706
Epoch : 113, Mean Accuracy(U) = 0.21760389539930552, Mean Accuracy(V) = 0.18447121687216558, Loss : 7.712860812081231
Epoch : 114, Mean Accuracy(U) = 0.21752221070719954, Mean Accuracy(V) = 0.18352333120748301, Loss : 7.72096479733785
Epoch : 115, Mean Accuracy(U) = 0.21901899757298746, Mean Accuracy(V) = 0.18654926325999147, Loss : 7.721377383338081
Epoch : 116, Mean Accuracy(U) = 0.21943093643707473, Mean Accuracy(V) = 0.18658009916206061, Loss : 7.698849275377062
Epoch : 117, Mean Accuracy(U) = 0.21666090915532882, Mean Accuracy(V) = 0.18562130744224775, Loss : 7.7100666205088295
Epoch : 118, Mean Accuracy(U) = 0.21937842682645986, Mean Accuracy(V) = 0.18643076371173473, Loss : 7.713826311959161
Epoch : 119, Mean Accuracy(U) = 0.2190142919146825, Mean Accuracy(V) = 0.18396386386585886, Loss : 7.716605403688219
Epoch : 120, Mean Accuracy(U) = 0.21993651790143143, Mean Accuracy(V) = 0.18560613861429986, Loss : 7.705230538050333
Epoch : 121, Mean Accuracy(U) = 0.21536342075892856, Mean Accuracy(V) = 0.18448195684523808, Loss : 7.716600799560547
Epoch : 122, Mean Accuracy(U) = 0.2173737056671626, Mean Accuracy(V) = 0.1854347696109694, Loss : 7.724140310287476
Epoch : 123, Mean Accuracy(U) = 0.21897520727040826, Mean Accuracy(V) = 0.1856142212744473, Loss : 7.705521652433608
Epoch : 124, Mean Accuracy(U) = 0.21757472031781455, Mean Accuracy(V) = 0.18686232793898808, Loss : 7.7047111776140005
Epoch : 125, Mean Accuracy(U) = 0.2162178575857426, Mean Accuracy(V) = 0.1841629132121598, Loss : 7.708457787831624
Epoch : 126, Mean Accuracy(U) = 0.21964806104733567, Mean Accuracy(V) = 0.1854395583103033, Loss : 7.715484073426988
Epoch : 127, Mean Accuracy(U) = 0.21697735083616787, Mean Accuracy(V) = 0.18405883512259075, Loss : 7.709009705649482
Epoch : 128, Mean Accuracy(U) = 0.21536167689732139, Mean Accuracy(V) = 0.18382983564519553, Loss : 7.713530079523722
Epoch : 129, Mean Accuracy(U) = 0.21593258397108847, Mean Accuracy(V) = 0.1840384070294784, Loss : 7.718238470289442
