Epoch : 145, Mean Accuracy(U) = 0.12888828082045994, Mean Accuracy(V) = 0.11400182007953047, Loss : 7.733141888393445
Epoch : 146, Mean Accuracy(U) = 0.12795330966153376, Mean Accuracy(V) = 0.1146596233556146, Loss : 7.730945437142019
Epoch : 147, Mean Accuracy(U) = 0.12896349868890514, Mean Accuracy(V) = 0.1147187945418847, Loss : 7.730070976728804
Epoch : 148, Mean Accuracy(U) = 0.12878353843093351, Mean Accuracy(V) = 0.11456112049426669, Loss : 7.730902795041545
Epoch : 149, Mean Accuracy(U) = 0.12679307295928136, Mean Accuracy(V) = 0.1139102387176302, Loss : 7.720560754283091
Epoch : 150, Mean Accuracy(U) = 0.12777235316568217, Mean Accuracy(V) = 0.11476369904188528, Loss : 7.722726232550118
Epoch : 151, Mean Accuracy(U) = 0.12771437797380183, Mean Accuracy(V) = 0.11421725556683987, Loss : 7.729142381903831
Epoch : 152, Mean Accuracy(U) = 0.12802050037188809, Mean Accuracy(V) = 0.11370314592735718, Loss : 7.722877352425222
Epoch : 153, Mean Accuracy(U) = 0.1289971353949522, Mean Accuracy(V) = 0.11424696966575514, Loss : 7.7262898241536
Epoch : 154, Mean Accuracy(U) = 0.12800387604986926, Mean Accuracy(V) = 0.11560527830697837, Loss : 7.725717539197944
Epoch : 155, Mean Accuracy(U) = 0.12775934481819096, Mean Accuracy(V) = 0.11412832956695194, Loss : 7.73051142960452
Epoch : 156, Mean Accuracy(U) = 0.12686900969669498, Mean Accuracy(V) = 0.11487838981453312, Loss : 7.729026740856385
Epoch : 157, Mean Accuracy(U) = 0.12868798356852312, Mean Accuracy(V) = 0.11496127985975572, Loss : 7.729436408267932
Epoch : 158, Mean Accuracy(U) = 0.1285602869930531, Mean Accuracy(V) = 0.11501117445549786, Loss : 7.7290794822607145
Epoch : 159, Mean Accuracy(U) = 0.1284849380741587, Mean Accuracy(V) = 0.1146462918351712, Loss : 7.732868923230118
Epoch : 160, Mean Accuracy(U) = 0.1279128188897654, Mean Accuracy(V) = 0.11427893197965634, Loss : 7.725151362044088
Epoch : 161, Mean Accuracy(U) = 0.12723868647325667, Mean Accuracy(V) = 0.11509049433023337, Loss : 7.732051072495707
Epoch : 162, Mean Accuracy(U) = 0.12825749938357942, Mean Accuracy(V) = 0.11429023667130919, Loss : 7.73427969686101
Epoch : 163, Mean Accuracy(U) = 0.12805502643972072, Mean Accuracy(V) = 0.1137636174394426, Loss : 7.731295665998138
Epoch : 164, Mean Accuracy(U) = 0.12900306574585751, Mean Accuracy(V) = 0.11400182771353722, Loss : 7.72347885303283
Epoch : 165, Mean Accuracy(U) = 0.12754926458661225, Mean Accuracy(V) = 0.11473220621939885, Loss : 7.7309506394889915
Epoch : 166, Mean Accuracy(U) = 0.12826540058055907, Mean Accuracy(V) = 0.11420767234370763, Loss : 7.725715728288286
Epoch : 167, Mean Accuracy(U) = 0.12912756240016757, Mean Accuracy(V) = 0.11502325781583861, Loss : 7.723107005772966
Epoch : 168, Mean Accuracy(U) = 0.1287803079737465, Mean Accuracy(V) = 0.11537141687205878, Loss : 7.7260825446482455
Epoch : 169, Mean Accuracy(U) = 0.12934627669337334, Mean Accuracy(V) = 0.11483415456245699, Loss : 7.728187143132928
Epoch : 170, Mean Accuracy(U) = 0.12806554355634459, Mean Accuracy(V) = 0.11423168129491643, Loss : 7.717658171493016
Epoch : 171, Mean Accuracy(U) = 0.128696964977457, Mean Accuracy(V) = 0.1153888313137755, Loss : 7.7236959585982765
Epoch : 172, Mean Accuracy(U) = 0.12655798626627934, Mean Accuracy(V) = 0.11507986524817727, Loss : 7.729388515600998
Epoch : 173, Mean Accuracy(U) = 0.12916076778483362, Mean Accuracy(V) = 0.11467720956248309, Loss : 7.72499497552936
Epoch : 174, Mean Accuracy(U) = 0.12835785094689375, Mean Accuracy(V) = 0.11479108349640928, Loss : 7.729720812165335
Epoch : 175, Mean Accuracy(U) = 0.12775879516970545, Mean Accuracy(V) = 0.11423481759935365, Loss : 7.725389405582728
Epoch : 176, Mean Accuracy(U) = 0.12831324671782499, Mean Accuracy(V) = 0.1148915368464802, Loss : 7.728184501776535
Epoch : 177, Mean Accuracy(U) = 0.12677724002929505, Mean Accuracy(V) = 0.11372585582508504, Loss : 7.729151265005047
Epoch : 178, Mean Accuracy(U) = 0.12736089547021248, Mean Accuracy(V) = 0.11298696540170425, Loss : 7.728160611699137
Epoch : 179, Mean Accuracy(U) = 0.12734034090705518, Mean Accuracy(V) = 0.11455976927507308, Loss : 7.734057437168079
Epoch : 180, Mean Accuracy(U) = 0.1277974321501695, Mean Accuracy(V) = 0.11496104066087773, Loss : 7.731598896926709
Epoch : 181, Mean Accuracy(U) = 0.12775809284108502, Mean Accuracy(V) = 0.11492939134125303, Loss : 7.728751252206524
Epoch : 182, Mean Accuracy(U) = 0.12793754416527367, Mean Accuracy(V) = 0.11399121771649803, Loss : 7.727932967496722
Epoch : 183, Mean Accuracy(U) = 0.1291978423385842, Mean Accuracy(V) = 0.11450654243538735, Loss : 7.735091064753157
Epoch : 184, Mean Accuracy(U) = 0.1280444686083943, Mean Accuracy(V) = 0.11482207501911963, Loss : 7.725180304452275
Epoch : 185, Mean Accuracy(U) = 0.1286319715887105, Mean Accuracy(V) = 0.11478276751839654, Loss : 7.731284050459273
Epoch : 186, Mean Accuracy(U) = 0.12866054058661416, Mean Accuracy(V) = 0.11403592882166114, Loss : 7.729969753308243
Epoch : 187, Mean Accuracy(U) = 0.1282554343847552, Mean Accuracy(V) = 0.11411984945779415, Loss : 7.731609301620654
Epoch : 188, Mean Accuracy(U) = 0.12764253433633738, Mean Accuracy(V) = 0.11344459356995958, Loss : 7.728385785992226
Epoch : 189, Mean Accuracy(U) = 0.1273394388219249, Mean Accuracy(V) = 0.11442992372670469, Loss : 7.727860038200121
Epoch : 190, Mean Accuracy(U) = 0.12791470067242772, Mean Accuracy(V) = 0.1150899968474606, Loss : 7.728632792997896
Epoch : 191, Mean Accuracy(U) = 0.1282043145309308, Mean Accuracy(V) = 0.11410258769621233, Loss : 7.72530563761679
Epoch : 192, Mean Accuracy(U) = 0.12918400824603016, Mean Accuracy(V) = 0.1149864402736484, Loss : 7.7238512092761775
Epoch : 193, Mean Accuracy(U) = 0.12693114160524716, Mean Accuracy(V) = 0.11438104827086283, Loss : 7.729736258474628
Epoch : 194, Mean Accuracy(U) = 0.12947771902148558, Mean Accuracy(V) = 0.11537225025112832, Loss : 7.722484176078539
Epoch : 195, Mean Accuracy(U) = 0.1296404684112537, Mean Accuracy(V) = 0.11485070763374614, Loss : 7.724901933348581
Epoch : 196, Mean Accuracy(U) = 0.12850203952159897, Mean Accuracy(V) = 0.11468174416248873, Loss : 7.7298991760511075
Epoch : 197, Mean Accuracy(U) = 0.12845058249914337, Mean Accuracy(V) = 0.11478353982541215, Loss : 7.729890100071939
Epoch : 198, Mean Accuracy(U) = 0.1273496722079648, Mean Accuracy(V) = 0.11474945907463954, Loss : 7.728317303603955
Epoch : 199, Mean Accuracy(U) = 0.1278727378096923, Mean Accuracy(V) = 0.11481557847938079, Loss : 7.72536929805627
Epoch : 200, Mean Accuracy(U) = 0.12703426431300943, Mean Accuracy(V) = 0.11442792234460337, Loss : 7.720865153194813
Epoch : 201, Mean Accuracy(U) = 0.12795951229201302, Mean Accuracy(V) = 0.11484908922431648, Loss : 7.726921788762125
Epoch : 202, Mean Accuracy(U) = 0.12660689861982038, Mean Accuracy(V) = 0.11493398065164039, Loss : 7.7272203424003685
Epoch : 203, Mean Accuracy(U) = 0.1285371177825861, Mean Accuracy(V) = 0.11501674091874847, Loss : 7.725208169958565
Epoch : 204, Mean Accuracy(U) = 0.12759917063336448, Mean Accuracy(V) = 0.11331334081968145, Loss : 7.725310025590189
Epoch : 205, Mean Accuracy(U) = 0.12796772521093472, Mean Accuracy(V) = 0.11429033718573135, Loss : 7.723448539048098
Epoch : 206, Mean Accuracy(U) = 0.12793732150674367, Mean Accuracy(V) = 0.115001625585396, Loss : 7.728633275192775
Epoch : 207, Mean Accuracy(U) = 0.12618868610071712, Mean Accuracy(V) = 0.11442241949807566, Loss : 7.7272839439049195
Epoch : 208, Mean Accuracy(U) = 0.12687238265534123, Mean Accuracy(V) = 0.11413607044978993, Loss : 7.724501641948572
Epoch : 209, Mean Accuracy(U) = 0.12661137978177894, Mean Accuracy(V) = 0.11472777595081855, Loss : 7.724605512083246
Epoch : 210, Mean Accuracy(U) = 0.1289806281277034, Mean Accuracy(V) = 0.11433594910369028, Loss : 7.726425910263918
Epoch : 211, Mean Accuracy(U) = 0.1261473326861867, Mean Accuracy(V) = 0.1141058766807844, Loss : 7.726388556233952
Epoch : 212, Mean Accuracy(U) = 0.12875657002977703, Mean Accuracy(V) = 0.11440498978834536, Loss : 7.727962659985832
Epoch : 213, Mean Accuracy(U) = 0.12641381423192205, Mean Accuracy(V) = 0.11407529993910709, Loss : 7.7340055958608565
Epoch : 214, Mean Accuracy(U) = 0.12717795413260743, Mean Accuracy(V) = 0.11469087188988533, Loss : 7.7253902735335105
